epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1674.58,0.2542,0.46929,0.8917,0.99782,1,0.995,0.995,0.14591,0.49133,0.7137,0.00021471,0.00021471,0.00021471
90,1691.93,0.28712,0.49424,0.90959,0.99788,1,0.995,0.995,0.1441,0.47856,0.71351,0.000198206,0.000198206,0.000198206
91,1708.95,0.18563,0.95873,0.80856,0.99788,1,0.995,0.995,0.1441,0.47856,0.71351,0.000181703,0.000181703,0.000181703
92,1726.16,0.2216,0.99255,0.82073,0.99785,1,0.995,0.995,0.14993,0.47117,0.71542,0.0001652,0.0001652,0.0001652
93,1742.93,0.19933,0.88809,0.80046,0.99785,1,0.995,0.995,0.14993,0.47117,0.71542,0.000148696,0.000148696,0.000148696
94,1760.02,0.18268,0.84708,0.77841,0.99785,1,0.995,0.995,0.15492,0.47604,0.71758,0.000132193,0.000132193,0.000132193
95,1777.26,0.20043,0.91905,0.79864,0.99785,1,0.995,0.995,0.15492,0.47604,0.71758,0.00011569,0.00011569,0.00011569
96,1794.06,0.1871,0.84091,0.82658,0.99789,1,0.995,0.995,0.15462,0.4798,0.71627,9.91865e-05,9.91865e-05,9.91865e-05
97,1811.13,0.16955,0.81767,0.77238,0.99789,1,0.995,0.995,0.15462,0.4798,0.71627,8.26832e-05,8.26832e-05,8.26832e-05
98,1828.24,0.17459,0.82705,0.78615,0.9979,1,0.995,0.995,0.15049,0.4764,0.71313,6.61799e-05,6.61799e-05,6.61799e-05
99,1845.21,0.17168,0.76524,0.78193,0.9979,1,0.995,0.995,0.15049,0.4764,0.71313,4.96766e-05,4.96766e-05,4.96766e-05
100,1862.23,0.1794,0.77134,0.78525,0.99793,1,0.995,0.995,0.14657,0.46798,0.71065,3.31733e-05,3.31733e-05,3.31733e-05
